CODE ADHERENT;NOM FOURNISSEUR;TYPE DE PIECE;DOCUMENT NUMBER;DATE;LIGNE_FACTURE;FAMILLE;REF PRODUIT;LIBELEE PRODUIT;ETAT DEPOT;QUANTITE;VAT rate;PRIX D'ACHAT CATALOGUE HT;PRIX D'ACHAT REEL HT;PRIX D'ACHAT REEL TTC;DELIVERY NOTE NUMBER;DELIVERY NOTE Date;CUST.REF;ANCIEN N° SERIE ;N° SERIE
ARI010;STARKEY;FA;21424654;2021-09-24;6;PR;63233-SHT;STARKEY LIVIO AI 1600 ITC R;;1;0550;985,00;444,75;469,22;3907295;2021-09-22;;;7021370042
ARI010;STARKEY;FA;21424654;2021-09-24;7;PT;PT14;RETOUR TNT FRANCE;;1;2000;9,80;9,80;11,76;3907295;2021-09-22;;;
ARI010;STARKEY;FA;21424654;2021-09-24;8;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3907295;2021-09-22;;;
ARI010;STARKEY;FA;21424654;2021-09-24;9;PR;63233-SHT;STARKEY LIVIO AI 1600 ITC R;;1;0550;985,00;444,75;469,21;3907295;2021-09-22;;;7021370041
ARI010;STARKEY;FA;21424654;2021-09-24;10;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3907295;2021-09-22;;;
INNO002;STARKEY;FA;21424655;2021-09-24;1;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3905544;2021-09-20;;;210741132
INNO002;STARKEY;FA;21424655;2021-09-24;2;REPA;RRCICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3906005;2021-09-21;;;7018411614
INNO002;STARKEY;FA;21424655;2021-09-24;3;PT;PT14;RETOUR TNT FRANCE;;1;2000;9,80;9,80;11,76;3906850;2021-09-22;;;
INNO002;STARKEY;FA;21424655;2021-09-24;4;AC;18622-133;ECOUTEUR RIC SNAPFIT 60dB DROIT Taille 3 Courbe;;1;0550;29,00;14,50;15,30;3906850;2021-09-22;;;
INNO002;STARKEY;FA;21424655;2021-09-24;5;AC;18617-134;ECOUTEUR RIC SNAPFIT 50dB GAUCHE Taille 4 Courbe;;1;0550;29,00;14,50;15,30;3906850;2021-09-22;;;
506;STARKEY;FA;21424656;2021-09-24;1;REPA;RRIICC2;FORFAIT REPARATION 2;;1;0550;123,00;123,00;129,77;3905615;2021-09-20;;;7018291550
506;STARKEY;FA;21424656;2021-09-24;2;PT;PT14;RETOUR TNT FRANCE;;1;2000;9,80;9,80;11,76;3905615;2021-09-20;;;
UNIS004;STARKEY;FA;21424657;2021-09-24;1;PT;PT14;RETOUR TNT FRANCE;;1;2000;9,80;9,80;11,76;3905675;2021-09-21;;;
UNIS004;STARKEY;FA;21424657;2021-09-24;2;AC;18617-134;ECOUTEUR RIC SNAPFIT 50dB GAUCHE Taille 4 Courbe;;1;0550;29,00;14,50;15,30;3905675;2021-09-21;;;
UNIS004;STARKEY;FA;21424657;2021-09-24;3;AC;18622-133;ECOUTEUR RIC SNAPFIT 60dB DROIT Taille 3 Courbe;;1;0550;29,00;14,50;15,30;3905675;2021-09-21;;;
UNIS004;STARKEY;FA;21424657;2021-09-24;4;REPA;RRIICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3909523;2021-09-24;P.H;;7020311626
UNIS004;STARKEY;FA;21424657;2021-09-24;5;REPA;RRIICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3909523;2021-09-24;P.H;;7020311625
LABO001;STARKEY;FA;21424658;2021-09-24;1;PT;PT1;PORT TNT ALLER / RETOUR;;1;2000;23,50;23,50;28,20;3905765;2021-09-21;;;
LABO001;STARKEY;FA;21424658;2021-09-24;2;PO;16245-002;PROTECTION ECOUTEUR WAXPROOF PLAQUE/CLAPET BLEU;;5;0550;8,00;40,00;42,20;3905765;2021-09-21;;;
LABO001;STARKEY;FA;21424658;2021-09-24;3;PO;16245-001;PROTECTION ECOUTEUR WAXPROOF PLAQUE/CLAPET ROUGE;;7;0550;8,00;56,00;59,08;3905765;2021-09-21;;;
UNIS001;STARKEY;FA;21424659;2021-09-24;1;REPA;RRIICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3905791;2021-09-21;;;7020091503
UNIS001;STARKEY;FA;21424659;2021-09-24;2;REPA;RRIICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3905823;2021-09-21;;;7021341076
UNIS001;STARKEY;FA;21424659;2021-09-24;3;REPA;RRIICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3906349;2021-09-21;;;7019491485
